Max queue,Packet arrival count,Blocking rate,Total bits (Mbits),Output rate (Mbps),Transmitted packet count ,Service Fraction ,Arrival rate,Mean Delay (msec),
500, 5004187, 0.800167, 500.000000, 0.009998, 1000000,0.19983,100.000, 0.502465, 
1000, 2501595, 0.600255, 750.311000, 0.030003, 1000000,0.39974,100.000, 0.762770, 
2000, 1254502, 0.202871, 1249.452667, 0.099640, 1000000,0.79713,100.000, 1.324499, 
3000, 1005576, 0.005545, 1497.356000, 0.148968, 1000000,0.99445,100.000, 1.640558, 
4000, 1002057, 0.002053, 1498.561167, 0.149604, 1000000,0.99795,100.000, 1.652141, 
5000, 1000315, 0.000315, 1499.908333, 0.150003, 1000000,0.99969,100.000, 1.660244, 
6000, 1000115, 0.000115, 1499.996333, 0.150041, 1000000,0.99989,100.000, 1.661341, 
7000, 1000114, 0.000113, 1500.004000, 0.150043, 1000000,0.99989,100.000, 1.661439, 
8000, 1000115, 0.000115, 1499.996333, 0.150041, 1000000,0.99989,100.000, 1.661341, 
9000, 1000114, 0.000113, 1500.004000, 0.150043, 1000000,0.99989,100.000, 1.661439, 
10000, 1000115, 0.000115, 1499.996333, 0.150041, 1000000,0.99989,100.000, 1.661341, 
