Link rate,Packet arrival count,Blocking rate,Total bits (Mbits),Output rate (Mbps),Transmitted packet count ,Service Fraction ,Arrival rate,Mean Delay (msec),
50000, 2822158, 0.645661, 739.962667, 0.026239, 1000000,0.35434,100.000, 19.303466, 
60000, 2730282, 0.633737, 742.860000, 0.027225, 1000000,0.36626,100.000, 15.572389, 
70000, 2672180, 0.625774, 744.662500, 0.027882, 1000000,0.37423,100.000, 13.018274, 
80000, 2633673, 0.620302, 745.908333, 0.028335, 1000000,0.37970,100.000, 11.165503, 
90000, 2607006, 0.616418, 746.818000, 0.028659, 1000000,0.38358,100.000, 9.763384, 
100000, 2587496, 0.613526, 747.462000, 0.028900, 1000000,0.38647,100.000, 8.668193, 
200000, 2523117, 0.603665, 749.657833, 0.029723, 1000000,0.39634,100.000, 4.054058, 
300000, 2510784, 0.601718, 750.025000, 0.029883, 1000000,0.39828,100.000, 2.636915, 
400000, 2506368, 0.601016, 750.165500, 0.029940, 1000000,0.39898,100.000, 1.952737, 
500000, 2504304, 0.600687, 750.230833, 0.029968, 1000000,0.39931,100.000, 1.550094, 
600000, 2503201, 0.600512, 750.260500, 0.029982, 1000000,0.39949,100.000, 1.284965, 
700000, 2502562, 0.600410, 750.284333, 0.029991, 1000000,0.39959,100.000, 1.097214, 
800000, 2502118, 0.600339, 750.294167, 0.029997, 1000000,0.39966,100.000, 0.957315, 
900000, 2501806, 0.600289, 750.304500, 0.030001, 1000000,0.39971,100.000, 0.849047, 
1000000, 2501595, 0.600255, 750.311000, 0.030003, 1000000,0.39974,100.000, 0.762770, 
2000000, 2500907, 0.600145, 750.340333, 0.030013, 1000000,0.39985,100.000, 0.378294, 
3000000, 2500789, 0.600126, 750.344667, 0.030015, 1000000,0.39987,100.000, 0.251504, 
4000000, 2500741, 0.600119, 750.345667, 0.030015, 1000000,0.39988,100.000, 0.188370, 
5000000, 2500731, 0.600117, 750.346667, 0.030015, 1000000,0.39988,100.000, 0.150571, 
6000000, 2500718, 0.600115, 750.347167, 0.030016, 1000000,0.39989,100.000, 0.125406, 
7000000, 2500710, 0.600114, 750.347667, 0.030016, 1000000,0.39989,100.000, 0.107448, 
8000000, 2500703, 0.600112, 750.347333, 0.030016, 1000000,0.39989,100.000, 0.093989, 
