n,Packet arrival count,Blocking rate,Total bits (Mbits),Output rate (Mbps),Transmitted packet count ,Service Fraction ,Arrival rate,Mean Delay (msec),
700,20006566, 0.799964, 500.000000, 0.002500, 1000000,0.04998,100.000, 74985796.309515, 
1200,14444919, 0.599877, 720.737167, 0.004991, 1000000,0.06923,100.000, 52641217.264093, 
1700,12085724, 0.399917, 904.017167, 0.007483, 1000000,0.08274,100.000, 41096606.591860, 
2200,10730426, 0.199833, 1070.177333, 0.009978, 1000000,0.09319,100.000, 34399961.198934, 
2700,9817023, 0.000000, 1223.978167, 0.012473, 1000000,0.10186,100.000, 29880339.202248, 
3000,7995938, 0.000000, 1195.809333, 0.014963, 1000000,0.12506,100.000, 22381115.751858, 
4000,6424569, 0.000000, 1282.061000, 0.019967, 1000000,0.15565,100.000, 19372759.261019, 
6000,4537113, 0.000000, 1358.617167, 0.029966, 1000000,0.22040,100.000, 14510490.519322, 
8000,3506042, 0.000000, 1400.048167, 0.039964, 1000000,0.28522,100.000, 10942613.606237, 
10000,2857497, 0.000000, 1426.579333, 0.049962, 1000000,0.34996,100.000, 8419455.436375, 
12000,2409141, 0.000000, 1444.064000, 0.059962, 1000000,0.41509,100.000, 6546881.467248, 
15000,1951671, 0.000000, 1462.347667, 0.074959, 1000000,0.51238,100.000, 4528740.269762, 
17000,1732356, 0.000000, 1471.000667, 0.084957, 1000000,0.57725,100.000, 3523918.122374, 
20000,1482223, 0.000000, 1480.906833, 0.099953, 1000000,0.67466,100.000, 2349925.799654, 
25000,1195068, 0.000000, 1492.348167, 0.124950, 1000000,0.83677,100.000, 962072.584495, 
30000,1001560, 0.000000, 1500.022333, 0.149829, 1000000,0.99844,100.000, 7804.668850, 
35000,1000000, 0.000000, 1500.078500, 0.150067, 1000000,1.00000,100.000, 5.402029, 
40000,1000000, 0.000000, 1500.078500, 0.150067, 1000000,1.00000,100.000, 2.057535, 
45000,1000000, 0.000000, 1500.078500, 0.150067, 1000000,1.00000,100.000, 1.726003, 
50000,1000000, 0.000000, 1500.078500, 0.150067, 1000000,1.00000,100.000, 1.672765, 
