n,Packet arrival count,Blocking rate,Total bits (Mbits),Output rate (Mbps),Transmitted packet count ,Service Fraction ,Arrival rate,Mean Delay (msec),
700,20379521, 0.799969, 500.000000, 0.002454, 1000000,0.04907,100.000, 0.500000, 
1200,13505091, 0.599876, 668.734333, 0.004953, 1000000,0.07405,100.000, 0.668734, 
1700,11027242, 0.399889, 821.453000, 0.007452, 1000000,0.09068,100.000, 0.822008, 
2200,9690902, 0.199848, 964.042000, 0.009952, 1000000,0.10319,100.000, 0.964413, 
2700,8951918, 0.000000, 1114.524500, 0.012456, 1000000,0.11171,100.000, 19.054454, 
3000,7448018, 0.000000, 1112.368667, 0.014944, 1000000,0.13426,100.000, 16.665010, 
4000,5986559, 0.000000, 1192.939167, 0.019939, 1000000,0.16704,100.000, 13.341997, 
6000,4293254, 0.000000, 1283.339333, 0.029915, 1000000,0.23292,100.000, 9.029305, 
8000,3346801, 0.000000, 1333.705000, 0.039882, 1000000,0.29879,100.000, 6.896197, 
10000,2743671, 0.000000, 1366.389167, 0.049831, 1000000,0.36448,100.000, 5.531816, 
12000,2326006, 0.000000, 1389.453167, 0.059756, 1000000,0.42992,100.000, 4.608533, 
15000,1898723, 0.000000, 1414.456667, 0.074530, 1000000,0.52667,100.000, 3.646330, 
17000,1695216, 0.000000, 1427.301333, 0.084238, 1000000,0.58990,100.000, 3.192387, 
20000,1468927, 0.000000, 1444.057500, 0.098342, 1000000,0.68077,100.000, 2.684686, 
25000,1228657, 0.000000, 1466.028500, 0.119361, 1000000,0.81390,100.000, 2.164218, 
30000,1099072, 0.000000, 1482.490667, 0.134963, 1000000,0.90986,100.000, 1.878497, 
35000,1036315, 0.000000, 1492.623333, 0.144091, 1000000,0.96496,100.000, 1.741496, 
40000,1011036, 0.000000, 1497.556333, 0.148183, 1000000,0.98908,100.000, 1.686186, 
45000,1002786, 0.000000, 1499.381667, 0.149576, 1000000,0.99722,100.000, 1.667331, 
50000,1000569, 0.000000, 1499.914000, 0.149966, 1000000,0.99943,100.000, 1.663484, 
