Random Seed,Packet arrival count,Transmitted packet count ,Service Fraction ,Arrival rate,Mean Delay (msec),B_t,B_d,block_rate,output_rate,clk_tic,
0,10173, 10000,0.98299,240.000, 19.672890, 5, 15, 0.017, 0.235, 0.002000, 
0,10142, 10000,0.98600,240.000, 15.731306, 10, 15, 0.014, 0.236, 0.002000, 
0,10113, 10000,0.98883,240.000, 13.123929, 15, 15, 0.011, 0.237, 0.002000, 
0,10095, 10000,0.99059,240.000, 11.109455, 20, 15, 0.009, 0.237, 0.002000, 
0,10078, 10000,0.99226,240.000, 9.559940, 25, 15, 0.008, 0.238, 0.002000, 
1,10336, 10000,0.96749,250.000, 26.446055, 5, 15, 0.032, 0.242, 0.002000, 
1,10298, 10000,0.97106,250.000, 22.690435, 10, 15, 0.028, 0.242, 0.002000, 
1,10265, 10000,0.97418,250.000, 20.092889, 15, 15, 0.025, 0.243, 0.002000, 
1,10241, 10000,0.97647,250.000, 18.101906, 20, 15, 0.023, 0.244, 0.002000, 
1,10221, 10000,0.97838,250.000, 16.650046, 25, 15, 0.021, 0.244, 0.002000, 
2,19543, 10000,0.51169,490.000, 58.293873, 5, 15, 0.488, 0.250, 0.002000, 
2,19543, 10000,0.51169,490.000, 58.293873, 10, 15, 0.488, 0.250, 0.002000, 
2,19543, 10000,0.51169,490.000, 58.293873, 15, 15, 0.488, 0.250, 0.002000, 
2,19543, 10000,0.51169,490.000, 58.293873, 20, 15, 0.488, 0.250, 0.002000, 
2,19543, 10000,0.51169,490.000, 58.293873, 25, 15, 0.488, 0.250, 0.002000, 
3,19959, 10000,0.50103,500.000, 58.402794, 5, 15, 0.498, 0.250, 0.002000, 
3,19959, 10000,0.50103,500.000, 58.402794, 10, 15, 0.498, 0.250, 0.002000, 
3,19959, 10000,0.50103,500.000, 58.402794, 15, 15, 0.498, 0.250, 0.002000, 
3,19959, 10000,0.50103,500.000, 58.402794, 20, 15, 0.498, 0.250, 0.002000, 
3,19959, 10000,0.50103,500.000, 58.402794, 25, 15, 0.498, 0.250, 0.002000, 
4,38029, 10000,0.26296,950.000, 59.872922, 5, 15, 0.737, 0.250, 0.002000, 
4,38029, 10000,0.26296,950.000, 59.872922, 10, 15, 0.737, 0.250, 0.002000, 
4,38029, 10000,0.26296,950.000, 59.872922, 15, 15, 0.737, 0.250, 0.002000, 
4,38029, 10000,0.26296,950.000, 59.872922, 20, 15, 0.737, 0.250, 0.002000, 
4,38029, 10000,0.26296,950.000, 59.872922, 25, 15, 0.737, 0.250, 0.002000, 
5,40031, 10000,0.24981,1000.000, 59.930597, 5, 15, 0.750, 0.250, 0.002000, 
5,40031, 10000,0.24981,1000.000, 59.930597, 10, 15, 0.750, 0.250, 0.002000, 
5,40031, 10000,0.24981,1000.000, 59.930597, 15, 15, 0.750, 0.250, 0.002000, 
5,40031, 10000,0.24981,1000.000, 59.930597, 20, 15, 0.750, 0.250, 0.002000, 
5,40031, 10000,0.24981,1000.000, 59.930597, 25, 15, 0.750, 0.250, 0.002000, 
6,60118, 10000,0.16634,1500.000, 60.281479, 5, 15, 0.833, 0.250, 0.002000, 
6,60118, 10000,0.16634,1500.000, 60.281479, 10, 15, 0.833, 0.250, 0.002000, 
6,60118, 10000,0.16634,1500.000, 60.281479, 15, 15, 0.833, 0.250, 0.002000, 
6,60118, 10000,0.16634,1500.000, 60.281479, 20, 15, 0.833, 0.250, 0.002000, 
6,60118, 10000,0.16634,1500.000, 60.281479, 25, 15, 0.833, 0.250, 0.002000, 
0,10000, 10000,1.00000,240.000, 1.223472, 5, 15, 0.000, 0.240, 0.001000, 
0,10000, 10000,1.00000,240.000, 1.161894, 10, 15, 0.000, 0.240, 0.001000, 
0,10000, 10000,1.00000,240.000, 1.158889, 15, 15, 0.000, 0.240, 0.001000, 
0,10000, 10000,1.00000,240.000, 1.158814, 20, 15, 0.000, 0.240, 0.001000, 
0,10000, 10000,1.00000,240.000, 1.158814, 25, 15, 0.000, 0.240, 0.001000, 
1,10000, 10000,1.00000,250.000, 1.249763, 5, 15, 0.000, 0.250, 0.001000, 
1,10000, 10000,1.00000,250.000, 1.172398, 10, 15, 0.000, 0.250, 0.001000, 
1,10000, 10000,1.00000,250.000, 1.167858, 15, 15, 0.000, 0.250, 0.001000, 
1,10000, 10000,1.00000,250.000, 1.167541, 20, 15, 0.000, 0.250, 0.001000, 
1,10000, 10000,1.00000,250.000, 1.167541, 25, 15, 0.000, 0.250, 0.001000, 
2,10246, 10000,0.97599,490.000, 11.935927, 5, 15, 0.023, 0.477, 0.001000, 
2,10209, 10000,0.97953,490.000, 10.165925, 10, 15, 0.020, 0.479, 0.001000, 
