Random Seed,Packet arrival count,Transmitted packet count ,Service Fraction ,Arrival rate,Mean Delay (msec),B_t,B_d,block_rate,output_rate,clk_tic,
0,10000, 10000,1.00000,240.000, 1.158681, 15, 5, 0.000, 0.240, 0.002000, 
0,10000, 10000,1.00000,240.000, 1.158681, 15, 10, 0.000, 0.240, 0.002000, 
0,10000, 10000,1.00000,240.000, 1.158681, 15, 15, 0.000, 0.240, 0.002000, 
0,10000, 10000,1.00000,240.000, 1.158681, 15, 20, 0.000, 0.240, 0.002000, 
0,10000, 10000,1.00000,240.000, 1.158681, 15, 25, 0.000, 0.240, 0.002000, 
1,10000, 10000,1.00000,250.000, 1.167407, 15, 5, 0.000, 0.250, 0.002000, 
1,10000, 10000,1.00000,250.000, 1.167407, 15, 10, 0.000, 0.250, 0.002000, 
1,10000, 10000,1.00000,250.000, 1.167407, 15, 15, 0.000, 0.250, 0.002000, 
1,10000, 10000,1.00000,250.000, 1.167407, 15, 20, 0.000, 0.250, 0.002000, 
1,10000, 10000,1.00000,250.000, 1.167407, 15, 25, 0.000, 0.250, 0.002000, 
2,10208, 10000,0.97962,490.000, 2.290271, 15, 5, 0.020, 0.479, 0.002000, 
2,10156, 10000,0.98464,490.000, 4.178296, 15, 10, 0.015, 0.482, 0.002000, 
2,10124, 10000,0.98775,490.000, 6.392107, 15, 15, 0.012, 0.483, 0.002000, 
2,10101, 10000,0.99000,490.000, 8.633069, 15, 20, 0.009, 0.484, 0.002000, 
2,10087, 10000,0.99138,490.000, 11.012415, 15, 25, 0.008, 0.485, 0.002000, 
3,10296, 10000,0.97125,500.000, 2.572328, 15, 5, 0.029, 0.485, 0.002000, 
3,10239, 10000,0.97666,500.000, 5.104861, 15, 10, 0.023, 0.488, 0.002000, 
3,10201, 10000,0.98030,500.000, 8.362238, 15, 15, 0.019, 0.489, 0.002000, 
3,10172, 10000,0.98309,500.000, 11.898185, 15, 20, 0.016, 0.491, 0.002000, 
3,10159, 10000,0.98435,500.000, 15.394361, 15, 25, 0.015, 0.491, 0.002000, 
4,18940, 10000,0.52798,950.000, 9.623773, 15, 5, 0.472, 0.500, 0.002000, 
4,18940, 10000,0.52798,950.000, 19.609696, 15, 10, 0.472, 0.500, 0.002000, 
4,18940, 10000,0.52798,950.000, 29.584833, 15, 15, 0.471, 0.500, 0.002000, 
4,18940, 10000,0.52798,950.000, 39.551306, 15, 20, 0.471, 0.500, 0.002000, 
4,18940, 10000,0.52798,950.000, 49.508500, 15, 25, 0.471, 0.500, 0.002000, 
5,19959, 10000,0.50103,1000.000, 9.736842, 15, 5, 0.499, 0.500, 0.002000, 
5,19959, 10000,0.50103,1000.000, 19.723513, 15, 10, 0.499, 0.500, 0.002000, 
5,19959, 10000,0.50103,1000.000, 29.699020, 15, 15, 0.498, 0.500, 0.002000, 
5,19959, 10000,0.50103,1000.000, 39.666733, 15, 20, 0.498, 0.500, 0.002000, 
5,19959, 10000,0.50103,1000.000, 49.625636, 15, 25, 0.498, 0.500, 0.002000, 
6,29954, 10000,0.33385,1500.000, 10.286851, 15, 5, 0.666, 0.500, 0.002000, 
6,29954, 10000,0.33385,1500.000, 20.276244, 15, 10, 0.666, 0.500, 0.002000, 
6,29954, 10000,0.33385,1500.000, 30.257853, 15, 15, 0.666, 0.500, 0.002000, 
6,29954, 10000,0.33385,1500.000, 40.231725, 15, 20, 0.665, 0.500, 0.002000, 
6,29954, 10000,0.33385,1500.000, 50.199121, 15, 25, 0.665, 0.500, 0.002000, 
0,10000, 10000,1.00000,240.000, 1.158666, 15, 5, 0.000, 0.240, 0.001000, 
0,10000, 10000,1.00000,240.000, 1.158666, 15, 10, 0.000, 0.240, 0.001000, 
0,10000, 10000,1.00000,240.000, 1.158666, 15, 15, 0.000, 0.240, 0.001000, 
0,10000, 10000,1.00000,240.000, 1.158666, 15, 20, 0.000, 0.240, 0.001000, 
0,10000, 10000,1.00000,240.000, 1.158666, 15, 25, 0.000, 0.240, 0.001000, 
1,10000, 10000,1.00000,250.000, 1.167391, 15, 5, 0.000, 0.250, 0.001000, 
1,10000, 10000,1.00000,250.000, 1.167391, 15, 10, 0.000, 0.250, 0.001000, 
1,10000, 10000,1.00000,250.000, 1.167391, 15, 15, 0.000, 0.250, 0.001000, 
1,10000, 10000,1.00000,250.000, 1.167391, 15, 20, 0.000, 0.250, 0.001000, 
1,10000, 10000,1.00000,250.000, 1.167391, 15, 25, 0.000, 0.250, 0.001000, 
2,10006, 10000,0.99940,490.000, 1.477542, 15, 5, 0.001, 0.489, 0.001000, 
2,10001, 10000,0.99990,490.000, 1.484023, 15, 10, 0.000, 0.489, 0.001000, 
2,10001, 10000,0.99990,490.000, 1.484023, 15, 15, 0.000, 0.489, 0.001000, 
2,10001, 10000,0.99990,490.000, 1.484023, 15, 20, 0.000, 0.489, 0.001000, 
2,10001, 10000,0.99990,490.000, 1.484023, 15, 25, 0.000, 0.489, 0.001000, 
3,10006, 10000,0.99940,500.000, 1.496091, 15, 5, 0.001, 0.499, 0.001000, 
3,10001, 10000,0.99990,500.000, 1.503831, 15, 10, 0.000, 0.499, 0.001000, 
3,10001, 10000,0.99990,500.000, 1.503831, 15, 15, 0.000, 0.499, 0.001000, 
3,10001, 10000,0.99990,500.000, 1.503831, 15, 20, 0.000, 0.499, 0.001000, 
3,10001, 10000,0.99990,500.000, 1.503831, 15, 25, 0.000, 0.499, 0.001000, 
