Random Seed,Packet arrival count,Transmitted packet count ,Service Fraction ,Arrival rate,Mean Delay (msec),B_t,B_d,block_rate,output_rate,clk_tic,
0,10000, 10000,1.00000,240.000, 1.160917, 5, 15, 0.000, 0.240, 0.002000, 
0,10000, 10000,1.00000,240.000, 1.158681, 10, 15, 0.000, 0.240, 0.002000, 
0,10000, 10000,1.00000,240.000, 1.158681, 15, 15, 0.000, 0.240, 0.002000, 
0,10000, 10000,1.00000,240.000, 1.158681, 20, 15, 0.000, 0.240, 0.002000, 
0,10000, 10000,1.00000,240.000, 1.158681, 25, 15, 0.000, 0.240, 0.002000, 
1,10000, 10000,1.00000,250.000, 1.171786, 5, 15, 0.000, 0.250, 0.002000, 
1,10000, 10000,1.00000,250.000, 1.167407, 10, 15, 0.000, 0.250, 0.002000, 
1,10000, 10000,1.00000,250.000, 1.167407, 15, 15, 0.000, 0.250, 0.002000, 
1,10000, 10000,1.00000,250.000, 1.167407, 20, 15, 0.000, 0.250, 0.002000, 
1,10000, 10000,1.00000,250.000, 1.167407, 25, 15, 0.000, 0.250, 0.002000, 
2,10207, 10000,0.97972,490.000, 9.994941, 5, 15, 0.020, 0.479, 0.002000, 
2,10155, 10000,0.98474,490.000, 7.740953, 10, 15, 0.015, 0.482, 0.002000, 
2,10124, 10000,0.98775,490.000, 6.392107, 15, 15, 0.012, 0.483, 0.002000, 
2,10101, 10000,0.99000,490.000, 5.468741, 20, 15, 0.010, 0.484, 0.002000, 
2,10085, 10000,0.99157,490.000, 4.923658, 25, 15, 0.008, 0.485, 0.002000, 
3,10296, 10000,0.97125,500.000, 11.763510, 5, 15, 0.028, 0.485, 0.002000, 
3,10240, 10000,0.97656,500.000, 9.636657, 10, 15, 0.023, 0.488, 0.002000, 
3,10201, 10000,0.98030,500.000, 8.362238, 15, 15, 0.019, 0.489, 0.002000, 
3,10171, 10000,0.98319,500.000, 7.388979, 20, 15, 0.017, 0.491, 0.002000, 
3,10157, 10000,0.98454,500.000, 6.703913, 25, 15, 0.015, 0.491, 0.002000, 
4,18940, 10000,0.52798,950.000, 29.584833, 5, 15, 0.471, 0.500, 0.002000, 
4,18940, 10000,0.52798,950.000, 29.584833, 10, 15, 0.471, 0.500, 0.002000, 
4,18940, 10000,0.52798,950.000, 29.584833, 15, 15, 0.471, 0.500, 0.002000, 
4,18940, 10000,0.52798,950.000, 29.584833, 20, 15, 0.471, 0.500, 0.002000, 
4,18940, 10000,0.52798,950.000, 29.584833, 25, 15, 0.471, 0.500, 0.002000, 
5,19959, 10000,0.50103,1000.000, 29.699020, 5, 15, 0.498, 0.500, 0.002000, 
5,19959, 10000,0.50103,1000.000, 29.699020, 10, 15, 0.498, 0.500, 0.002000, 
5,19959, 10000,0.50103,1000.000, 29.699020, 15, 15, 0.498, 0.500, 0.002000, 
5,19959, 10000,0.50103,1000.000, 29.699020, 20, 15, 0.498, 0.500, 0.002000, 
5,19959, 10000,0.50103,1000.000, 29.699020, 25, 15, 0.498, 0.500, 0.002000, 
6,29954, 10000,0.33385,1500.000, 30.257853, 5, 15, 0.666, 0.500, 0.002000, 
6,29954, 10000,0.33385,1500.000, 30.257853, 10, 15, 0.666, 0.500, 0.002000, 
6,29954, 10000,0.33385,1500.000, 30.257853, 15, 15, 0.666, 0.500, 0.002000, 
6,29954, 10000,0.33385,1500.000, 30.257853, 20, 15, 0.666, 0.500, 0.002000, 
6,29954, 10000,0.33385,1500.000, 30.257853, 25, 15, 0.666, 0.500, 0.002000, 
0,10000, 10000,1.00000,240.000, 1.158666, 5, 15, 0.000, 0.240, 0.001000, 
0,10000, 10000,1.00000,240.000, 1.158666, 10, 15, 0.000, 0.240, 0.001000, 
0,10000, 10000,1.00000,240.000, 1.158666, 15, 15, 0.000, 0.240, 0.001000, 
0,10000, 10000,1.00000,240.000, 1.158666, 20, 15, 0.000, 0.240, 0.001000, 
0,10000, 10000,1.00000,240.000, 1.158666, 25, 15, 0.000, 0.240, 0.001000, 
1,10000, 10000,1.00000,250.000, 1.167391, 5, 15, 0.000, 0.250, 0.001000, 
1,10000, 10000,1.00000,250.000, 1.167391, 10, 15, 0.000, 0.250, 0.001000, 
